date,datetime,open,high,low,close,volume,openinterest,normal_high_by_point,normal_low_by_point,trending_high_by_point,trending_low_by_point,close_average_percent,is_ma_trending,maybe_buy_signal,maybe_two_by_zero_signal,maybe_dl_break_signal,bar_count_at_signal,slow_ma_distr_percent,fast_ma_distr_percent,trsi,low_trsi,is_dtpl,gain,loss,avg_gain,avg_loss,rs,rsi
2023-12-25 11:00:00,2023-12-25 11:00:00,42991.5,43802.32,42720.43,43576.13,27021.23992,0,,,,,1.3106160552045194,1.0,1,-1,-1,3.0,35.5,58.5,59.71150393794025,57.07633884492581,0.0,584.6299999999974,-0.0,406.1626651947974,274.04573420665304,1.482098111728013,59.71150393794025
2023-12-26 11:00:00,2023-12-26 11:00:00,43576.12,43592.68,41637.6,42508.93,41010.04282,0,,,,,1.3143919982441683,1.0,-1,-1,-1,0.0,32.0,91.0,53.281160756530966,53.281160756530966,0.0,0.0,1067.199999999997,377.15104625231186,330.6996103347491,1.140464138650005,53.281160756530966
2023-12-27 11:00:00,2023-12-27 11:00:00,42508.93,43677.0,42098.69,43428.85,36191.21136,0,,,44398.26,,1.3262447609236387,1.0,-1,-1,-1,0.0,30.5,77.0,57.527128523164784,53.281160756530966,0.0,919.9199999999983,-0.0,415.9202572342894,307.0782095965527,1.3544440609470016,57.52712852316478
2023-12-28 11:00:00,2023-12-28 11:00:00,43428.86,43787.57,42241.79,42563.76,35150.52485,0,,,,,1.3250436886547077,1.0,-1,-1,-1,0.0,35.5,89.0,52.67855059252736,52.67855059252736,0.0,0.0,865.0899999999965,386.2116674318401,346.93619462537015,1.1132066167062233,52.67855059252735
2023-12-29 11:00:00,2023-12-29 11:00:00,42563.76,43111.0,41300.0,42066.95,42597.18912,0,,,,,1.333371653002252,1.0,-1,-1,-1,0.0,48.5,84.5,50.06866530836776,50.06866530836776,0.0,0.0,496.81000000000495,358.62511975813726,357.64146643784403,1.0027503894615202,50.06866530836775
2023-12-30 11:00:00,2023-12-30 11:00:00,42066.94,42612.32,41520.3,42140.28,22906.57818,0,,,,,1.338815058219922,1.0,-1,-1,-1,0.0,49.0,92.0,50.45881389774362,50.06866530836776,0.0,73.33000000000175,-0.0,338.24689691827047,332.0956474065694,1.0185225237359716,50.458813897743624
2023-12-31 11:00:00,2023-12-31 11:00:00,42140.29,42899.0,41965.84,42283.58,23585.91603,0,,,,,1.3391257535933214,1.0,1,-1,-1,3.0,32.0,66.0,51.26028712773354,50.06866530836776,0.0,143.3000000000029,-0.0,324.3221185669657,308.3745297346716,1.0517150000877684,51.26028712773354
2024-01-01 11:00:00,2024-01-01 11:00:00,42283.58,44184.1,42180.77,44179.55,27174.29903,0,44398.26,,,,1.325293478404193,1.0,1,-1,1,10.0,31.5,34.5,60.39068848302478,50.45881389774362,1.0,1895.9700000000012,-0.0,436.5826815264682,286.3477776107665,1.5246588786867292,60.39068848302478
2024-01-02 11:00:00,2024-01-02 11:00:00,44179.55,45879.63,44148.34,44946.91,65146.40661,0,,,,41300.0,1.3383634690652024,1.0,-1,-1,1,10.0,26.0,14.5,63.38067745931876,51.26028712773354,1.0,767.3600000000006,-0.0,460.20963284600623,265.8943649242832,1.7307987439939043,63.38067745931876
2024-01-03 11:00:00,2024-01-03 11:00:00,44946.91,45500.0,40750.0,42845.23,81194.55173,0,,,,,1.332466896638201,1.0,-1,-1,-1,0.0,46.0,33.5,51.83873714260719,51.83873714260719,1.0,0.0,2101.6800000000003,427.33751621414865,397.02191028683444,1.0763575136329686,51.83873714260719
2024-01-04 11:00:00,2024-01-04 11:00:00,42845.23,44729.58,42613.77,44151.1,48038.06334,0,,,,,1.352582292597634,1.0,-1,-1,-1,0.0,37.0,18.5,57.06993911962061,51.83873714260719,1.0,1305.8699999999953,-0.0,490.08983648456626,368.6632024092034,1.3293700952030019,57.069939119620614
